,CUB,,Aircraft,,Cars,
,ResNet-18,ResNet-34,ResNet-18,ResNet-34,ResNet-18,ResNet-34
Baseline,58.98,63.01,50.67,51.83,61.68,63.78
SnapMix,64.98,67.13,58.67,61.79,72.14,76.84
KD,63.15,64.88,53.47,56.04,60.58,64.83
RKD,61.84,64.78,53.35,55.18,60.87,64.38
CRD,64.11,66.12,54.31,56.23,61.72,65.79
OFD,63.91,65.83,54.69,55.67,61.37,65.63
ReviewKD,67.89,67.62,58.54,58.79,71.02,73.12
DKD,70.97,68.13,58.04,60.12,75.43,78.96
DSSD,74.13,70.21,66.32,70.01,81.52,86.24
