Method,Aircraft,Cars,CUB
No Aug.,85.60,90.80,75.84
Crop,87.43,91.31,77.29
Mask,85.99,91.42,76.89
Mix,86.71,91.33,76.91
Crop+Mask,89.02,92.74,80.45
Crop+Mask+Mix,90.13,93.12,81.24
Crop+Mask+Mix(Same Class),,,81.79
