Method,Aircraft,Cars,CUB
Scratch,14.6,12.3,23.8
SimCLR,43.2,64.3,36.2
SupCon,29.4,66.2,37.8
MoCov2,37.7,44,31.6
MoCov3,32,53.7,20.5
DINO,45.7,65.3,41.8
IDMM,43.2,66.4,43.1
TGDA,55.2,66.1,52.2
TGDA+ViTFS,61.3,91.5,79.8
