IS + Aug,Aircraft,,Cars,,CUB,
,RN50,RN101,RN50,RN101,RN50,RN101
128 + WA,86.89,80.29,91.23,90.06,79.01,77.37
128 + SA,90.19,88.57,92.96,92.19,82.74,81.48
448 + WA,94.45,94.45,94.83,95.01,87.80,88.25
448 + SA,94.78,94.81,95.16,95.19,88.95,89.25
