ConvStem+GAP+Sin2D,LayerScale+Reg,BatchNorm,Aircraft,Cars,CUB
-,-,-,55.2,66.1,52.2
ü,-,-,52.6,86.2,75.6
ü,ü,-,47.8,86.6,76.5
ü,ü,ü,60.1,92.6,79.9
