IS + Aug,Aircraft,,Cars,,CUB,
,RN18,RN34,RN18,RN34,RN18,RN34
128 + WA,83.50,78.28,89.16,89.03,71.69,73.27
128 + SA,86.95,85.45,91.18,91.03,77.68,78.81
448 + WA,93.46,93.82,94.78,94.78,86.71,87.42
448 + SA,93.73,94.24,94.86,95.04,87.49,88.40
