,Aircraft,Cars,CUB
Baseline,90.46,93.06,86.24
Mixup,90.31,93.05,87.42
CutMix,91.18,93.25,87.5
Cutout,90.07,93.02,86.12
InPS,90.46,92.66,87.57
SnapMix,91.6,93.51,87.54
S3Mix,91.54,93.65,87.71
S3Mix+,91.81,93.92,87.97
