,Aircraft,,Cars,,CUB,
,Res18,Res34,Res18,Res34,Res18,Res34
MixUp,89.82,91.02,91.57,93.28,83.17,85.22
CutMix,89.44,91.26,92.65,93.61,80.16,85.69
SnapMix,90.17,92.36,93.12,93.95,84.29,87.06
CEKD,91.29,93.65,93.87,94.61,85.22,88.32
