,Aircraft,,,,Cars,,,,CUB,,,
,Res18,Res34,Res50,Res101,Res18,Res34,Res50,Res101,Res18,Res34,Res50,Res101
MixUp,89.82,91.02,92.24,92.89,91.57,93.28,93.96,94.22,83.17,85.22,86.23,87.72
CutMix,89.44,91.26,92.23,92.29,92.65,93.61,94.18,94.27,80.16,85.69,86.15,87.92
SnapMix,90.17,92.36,92.8,93.74,93.12,93.95,94.3,94.44,84.29,87.06,87.75,88.45
CEKD,91.29,93.65,93.48,94.56,93.87,94.61,95.65,95.96,85.22,88.32,88.41,89.59
