,Aircraft,Cars,CUB
Baseline,51.83,63.78,63.01
SnapMix,61.79,76.84,67.13
KD,56.04,64.83,64.88
RKD,55.18,64.38,64.78
CRD,56.23,65.79,66.12
OFD,55.67,65.63,65.83
ReviewKD,58.79,73.12,67.62
DKD,60.12,78.96,68.13
DSSD,70.01,86.24,70.21
