,CUB,,Aircraft,,Cars,
Baseline,Res18,Res34,Res18,Res34,Res18,Res34
,59.44,62.79,50.22,52.41,60.58,64.73
SnapMix,65.41,66.63,59.71,61.32,71.68,77.45
KD,62.81,65.52,53.67,55.89,61.02,65.12
DKD,71.31,67.83,58.63,59.67,75.97,79.63
DADKD,73.31,69.9,65.61,68.52,80.61,85.34
