,,CUB,,Cars,,Aircraft,
,,Res18,Res34,Res18,Res34,Res18,Res34
Original,MixUp,83.17,85.22,91.57,93.28,89.82,91.02
Original,CutMix,80.16,85.69,92.65,93.61,89.44,91.26
Original,SnapMix,84.29,87.06,93.12,93.95,90.17,92.36
Teacher,SnapMix,84.34,87.9,93.16,94.53,91.02,93.17
Student,CutMix,82.17,86.4,93.01,93.96,90.08,92.1
Teacher,SnapMix,85.22,88.32,93.87,94.61,91.29,93.65
Student,MixUp,84.45,86.46,92.63,93.5,90.64,92.48
