,Aircraft,,Cars,,CUB,
,Res50,Res101,Res50,Res101,Res50,Res101
Baseline,58.44,64.91,69.25,72.35,66.4,67.67
SnapMix,63.87,69.29,81.54,83.16,71.32,73.04
KD,58.22,64.68,72.33,75.42,71.14,72.71
DKD,62.13,68.01,84.94,85.69,75.92,76.38
DADKD,72.63,78.98,87.74,88.19,78.22,80.33
