Method,Aircraft,Cars,CUB
Mcloss(VGG),80.41,84.56,79.19
Mcloss(Res50),82.31,76.48,74.81
PCA-net,70.62,67.96,65.3
PMG,62.13,64.53,60.21
Inceptionv3(299),72.12,81.97,66.12
API-Net,63.91,74.81,68.67
MG,67.39,70.01,63.55
RN50,58.44,69.25,66.4
RN101,64.91,72.35,67.67
RN50+DADKD,72.63,87.74,78.22
RN101+DADKD,78.98,88.19,80.33
