,Aircraft,,Cars,,CUB,
,RN18,RN34,RN18,RN34,RN18,RN34
Baseline,50.22,52.41,60.58,64.73,59.44,62.79
SnapMix,59.71,61.32,71.68,77.45,65.41,66.63
KD,53.67,55.89,61.02,65.12,62.81,65.52
DKD,58.63,59.67,75.97,79.63,71.31,67.83
DADKD,65.61,68.52,80.61,85.34,73.31,69.9
