method,Aircraft,Cars,CUB
Baseline,88.27,91.51,82.45
Mixup,87.82,91.56,83.21
CutMix,88.78,92.24,83.4
Cutout,88.03,91.46,81.81
InPS,89.08,91.98,84.55
SnapMix,89.32,92.24,83.57
S3Mix,89.53,92.63,85.14
S3Mix+,89.8,92.95,85.43
MixUp*,89.82,91.57,83.17
CutMix*,89.44,92.65,80.16
SnapMix*,90.17,93.12,84.29
CEKD*,91.29,93.87,85.22
