model_name,aircraft,cars,cub
RN18FT*,50.67,61.68,58.98
SnapMix*,58.67,72.14,64.98
KD*,53.47,60.58,63.15
RKD*,53.35,60.87,61.84
CRD*,54.31,61.72,64.11
OFD*,54.69,61.37,63.91
ReviewKD*,58.54,71.02,67.89
DKD*,58.04,75.43,70.97
DSSD,66.32,81.52,74.13
RN18FT,50.22,60.58,59.44
SnapMix,59.71,71.68,65.41
KD,53.67,61.02,62.81
DKD,58.63,75.97,71.31
DADKD,65.61,80.61,73.31
