method,Aircraft,Cars,CUB
Baseline,51.83,63.78,63.01
SnapMix [66],61.79,76.84,67.13
KD [18],56.04,64.83,64.88
RKD [64],55.18,64.38,64.78
CRD [69],56.23,65.79,66.12
OFD [70],55.67,65.63,65.83
ReviewKD [71],58.79,73.12,67.62
DKD [68],60.12,78.96,68.13
DSSD,70.01,86.24,70.21
Baseline,52.41,64.73,62.79
SnapMix,61.32,77.45,66.63
KD,55.89,65.12,65.52
DKD,59.67,79.63,67.83
DADKD,68.52,85.34,69.9
