model_name,aircraft,cars,cub
RN50FT*,57.96,68.85,65.87
SnapMix*,64.07,82.13,70.78
KD*,58.76,71.83,70.84
RKD*,57.63,71.87,70.09
CRD*,58.77,72.02,72.83
OFD*,58.63,71.97,72.71
ReviewKD*,67.65,84.82,73.81
DKD*,61.89,85.04,76.02
DSSD,73.01,88.12,79.13
RN50FT,58.44,69.25,66.4
SnapMix,63.87,81.54,71.32
KD,58.22,72.33,71.14
DKD,62.13,84.94,75.92
DADKD,72.63,87.74,78.22
