method,Aircraft,Cars,CUB
Baseline,89.53,92.33,84.86
Mixup,89.77,92.65,85.23
CutMix,90.19,93.28,85.81
Cutout,89.35,92.65,84.69
InPS,90.16,92.08,86.07
SnapMix,90.43,93.22,86.4
S3Mix,90.46,93.27,86.68
S3Mix+,90.76,93.31,86.83
MixUp*,91.02,93.28,85.22
CutMix*,91.26,93.61,85.69
SnapMix*,92.36,93.95,87.06
CEKD*,93.65,94.61,88.32
