model_name,aircraft,cars,cub
Baseline,65.14,71.84,68.12
SnapMix*,68.89,83.96,72.59
KD*,66.11,76.12,71.98
RKD*,64.67,74.63,71.33
CRD*,66.39,75.32,72.55
OFD*,65.67,74.83,71.97
ReviewKD*,68.89,85.72,75.52
DKD*,68.54,84.89,75.68
DSSD,78.99,89.13,81.07
Baseline,64.91,72.35,67.67
SnapMix,69.29,83.16,73.04
KD,64.68,75.42,72.71
DKD,68.01,85.69,76.38
DADKD,78.98,88.19,80.33
